Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100n,C312123
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C5, C6, C7, C8, C9",0402,17,10n,C525224
C22,CP_Elec_6.3x7.7,1,220u,C497598
C23,CP_Elec_10x10.5,1,680u,C497598
"C24, C25",0402,2,1u,C77006
"C3, C4",0402,2,8p,C962144
D1,DO-214AC_L4.3-W2.7-LS5.0-RD,1,SS34-MS,C2836396
J1,BUS_PCIexpress_x1,1,Bus_PCI_Express_x1,
L2,IND-SMD_L7.0-W6.6_FXL0650,1,FXL0650-330-M,C475526
R1,0402,1,1.62k,C830229
"R10, R11, R12, R13, R9",0805,5,0R,C304192
"R2, R5, R6, R7, R8",0402,5,10k,C163810
R3,0402,1,NOPOP,
R4,0402,1,680,C137948
U1,QFN-68_L8.0-W8.0-P0.40-BL-EP6.2,1,UPD720201K8-701-BAC-A,C355375
U2,TO-263-5_TabPin3,1,LM2596S-5,C347421
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,TLV743105PDBVR,C469896
"USB1, USB2, USB3, USB5",USB-A-TH_U231-091N-1BLRC19-S5,4,U231-091N-1BLRC19-S5,C908473
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,7D024000H01,C648933
