Designator,Mid X,Mid Y,Rotation,Layer
C1,183.49,-87.83,0.0,top
C10,188.7,-92.5,180.0,top
C11,208.7,-88.8,180.0,top
C12,208.7,-93.2,180.0,top
C13,204.6,-79.6,270.0,top
C14,199.9,-79.6,270.0,top
C15,199.6,-98.5,90.0,top
C16,197.6,-79.6,270.0,top
C17,188.7,-88.3,0.0,top
C18,188.7,-90.7,0.0,top
C19,208.69,-87.3,180.0,top
C2,183.488,-88.846,0.0,top
C20,188.7,-86.0,180.0,top
C21,203.4,-98.5,270.0,top
C22,152.63,-78.95,180.0,top
C23,151.63,-104.55,180.0,top
C24,169.195,-74.05,270.0,top
C25,166.195,-76.35,90.0,top
C3,205.655,-104.36,90.0,top
C4,201.155,-104.36,270.0,top
C5,208.7,-91.1,0.0,top
C6,200.8,-98.5,270.0,top
C7,208.7,-84.9,0.0,top
C8,195.1,-79.6,90.0,top
C9,201.8,-79.6,90.0,top
D1,166.73,-89.35,180.0,top
L2,162.93,-94.65,180.0,top
R1,205.1,-98.5,90.0,top
R10,160.83,-85.55,90.0,top
R11,168.895,-69.55,270.0,top
R12,166.595,-69.55,90.0,top
R13,163.195,-76.75,180.0,top
R2,183.5,-91.7,0.0,top
R3,188.8,-83.4,90.0,top
R4,199.555,-103.86,0.0,top
R5,198.0,-98.5,90.0,top
R6,196.2,-98.5,90.0,top
R7,188.99,-96.3,0.0,top
R8,189.0,-95.3,0.0,top
R9,160.83,-89.05,270.0,top
U1,199.898,-88.9,270.0,top
U2,146.98,-90.65,180.0,top
U3,165.88,-73.15,90.0,top
USB1,235.5,-87.2,90.0,top
USB2,215.8,-67.87,180.0,top
USB3,196.9,-67.9,180.0,top
USB5,235.43,-105.6,90.0,top
X1,203.45,-104.3,90.0,top
